,Date,italy,uk,germany,spain,china,belgium,us,iran,france,netherlands
0,2020-01-09,0,0,0,0,6,0,1,0,0,0
0,2020-01-14,0,0,0,0,9,0,0,0,0,0
0,2020-01-18,0,4,0,0,17,0,3,0,0,0
0,2020-01-20,0,0,0,0,1,0,0,0,0,0
0,2020-01-21,4,7,0,4,63,3,21,3,1,0
0,2020-01-22,0,16,0,0,27,0,13,1,0,0
0,2020-01-23,4,43,1,4,99,0,44,0,3,1
0,2020-01-24,6,56,3,6,84,0,32,1,3,0
0,2020-01-25,1,9,0,1,24,0,6,0,3,0
0,2020-01-26,1,17,0,1,59,0,16,0,10,0
0,2020-01-27,7,51,2,9,59,2,38,1,6,2
0,2020-01-28,3,26,2,3,78,0,28,0,3,0
0,2020-01-29,5,45,8,5,106,0,44,0,5,0
0,2020-01-30,6,44,3,4,73,0,30,0,4,0
0,2020-01-31,18,41,6,7,94,0,67,1,7,0
0,2020-02-01,4,33,2,4,94,0,51,0,3,0
0,2020-02-02,5,19,4,2,70,0,9,0,5,0
0,2020-02-03,4,16,0,2,88,0,41,0,1,0
0,2020-02-04,12,42,2,8,135,0,45,0,8,1
0,2020-02-05,5,47,0,4,134,1,52,0,2,0
0,2020-02-06,3,49,0,3,72,0,46,0,1,0
0,2020-02-07,4,16,0,4,78,0,36,0,0,1
0,2020-02-08,5,21,1,7,36,0,16,0,13,0
0,2020-02-09,2,13,1,3,33,0,3,0,1,0
0,2020-02-10,5,48,1,3,61,0,23,1,9,0
0,2020-02-11,1,16,2,5,60,0,25,1,1,1
0,2020-02-12,3,27,2,4,92,0,21,0,0,1
0,2020-02-13,3,37,0,2,102,0,54,0,5,0
0,2020-02-14,4,23,5,5,71,0,30,0,0,0
0,2020-02-15,4,5,2,1,30,0,13,0,7,0
0,2020-02-16,1,32,1,0,46,0,31,0,12,0
0,2020-02-17,6,16,4,3,55,0,20,0,0,1
0,2020-02-18,3,31,1,3,72,0,39,0,0,0
0,2020-02-19,1,20,0,2,24,0,17,1,4,1
0,2020-02-20,1,16,3,1,44,0,25,0,1,0
0,2020-02-21,2,19,2,2,51,0,17,13,2,1
0,2020-02-22,7,3,1,0,30,0,11,14,1,0
0,2020-02-23,7,15,1,1,34,0,14,25,0,0
0,2020-02-24,53,35,5,5,92,0,32,16,6,0
0,2020-02-25,57,40,4,12,70,0,39,22,1,2
0,2020-02-26,85,40,1,5,94,0,68,19,8,0
0,2020-02-27,56,35,4,6,120,0,102,21,7,2
0,2020-02-28,45,88,9,5,77,0,97,7,13,2
0,2020-02-29,19,25,1,1,28,0,57,33,7,0
0,2020-03-01,29,43,3,3,62,0,75,28,13,0
0,2020-03-02,50,74,11,5,74,1,72,26,10,1
0,2020-03-03,47,123,12,14,70,0,101,45,11,0
0,2020-03-04,48,74,4,6,69,3,96,22,7,4
0,2020-03-05,39,86,5,5,67,0,78,16,7,1
0,2020-03-06,37,85,5,4,63,2,97,16,10,2
0,2020-03-07,28,36,2,10,24,1,63,4,5,0
0,2020-03-08,46,55,2,3,34,2,75,5,11,1
0,2020-03-09,78,92,11,7,74,1,126,9,34,0
0,2020-03-10,131,79,8,12,87,1,150,5,14,1
0,2020-03-11,62,148,11,25,77,6,155,26,10,1
0,2020-03-12,73,145,13,29,83,6,268,25,20,9
0,2020-03-13,75,136,12,19,100,5,293,25,22,5
0,2020-03-14,43,114,6,17,37,1,130,1,14,1
0,2020-03-15,62,119,12,32,55,3,175,20,23,2
0,2020-03-16,52,186,21,17,66,10,247,8,33,3
0,2020-03-17,74,260,19,39,97,1,296,19,42,4
0,2020-03-18,55,180,23,14,84,6,280,35,36,2
0,2020-03-19,51,180,25,14,115,2,255,28,37,0
0,2020-03-20,68,156,15,38,66,2,248,14,15,2
0,2020-03-21,28,86,2,18,47,0,197,29,9,1
0,2020-03-22,37,89,37,20,30,4,167,6,14,2
0,2020-03-23,67,174,13,27,55,1,247,8,14,5
0,2020-03-24,46,154,13,20,59,0,254,4,18,1
0,2020-03-25,38,183,6,36,54,6,304,10,15,4
0,2020-03-26,56,173,14,43,58,4,302,12,27,8
0,2020-03-27,41,173,6,26,79,1,341,7,10,5
0,2020-03-28,45,72,10,21,67,2,156,2,11,1
0,2020-03-29,40,131,19,31,48,0,179,16,21,4
0,2020-03-30,29,166,27,16,71,1,229,6,8,1
0,2020-03-31,36,176,21,22,101,3,259,15,15,11
0,2020-04-01,52,206,27,42,57,4,247,15,20,7
0,2020-04-02,45,112,59,26,54,3,265,20,28,4
0,2020-04-03,53,338,24,41,97,5,254,17,34,5
0,2020-04-04,24,58,5,7,49,1,183,9,8,1
0,2020-04-05,9,24,8,4,25,0,78,2,0,0
